text,score
@thumbprints The winds nearly blew you out of the outfield.,empty
@wolfofmibu   I need a wardrobe intervention,empty
"@joseevans Hi, I teach some Chinese lessons on youtube... Feel free to have a look  www.youtube.com/ChineseLearn",empty
@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin,empty
Ugh sittin at work waiting for the carpets to be cleaned.  I was suppose to be out by 7,empty
"63 days of summer holiday left, and they are going way too slow! When will school get here???",empty
@Lo_Bosworth hey Lo!!!!,empty
just played volleyball?,empty
"gor i am soo bored, man i don't think i could get any more bored",empty
@KenRamirez Hi Ken ... checking in quickly and checking back out. Will be around all day tomorrow tho if u need something,empty
"@woopow8 Hi, what are you a consultant for?",empty
@femiknitzi Three-quarters through I believe. Will not finish tonight.  I blame errands and a certain loud at a bookstore.,empty
Mitchells pants fell down while he was getting gas. I missed it,empty
@klm I knew that. I attended an innovation seminar at Picnic 2007.,empty
went to the dmv today.....some things never change,empty
"A singing girl. Talented, yeah. Good to complain about? No",empty
So bored... need more people for rsmv !!  jagex doesn't let u say RSMV unless its the first word u say in the sentence.. sad,empty
At wrk  ...gtta come back tonite,empty
ontd is our god,empty
"@strawfoot @markn @johnhalton No, seriously you guys, I /wanted/ to kick Monday off with #starwarswithaddedpants spam.  Really",empty
"@Savoy41 oh naw; ill always be dha same cece, but when chanqes are needed ill make them",empty
burning all my imovies over to dvds because im computers getting replaced..,empty
Talk at you all lates!,empty
@cdtpiper laptop has been handed over to the master. I will be getting it back next weekend - fingers crossed! Will let you know,empty
"I love my daddy, but I don't want to go to his house today.",empty
have no line bi-focals for over 3 yrs now. End up taking glasses off to read close up.,empty
@robert_avalos lucky ass bitch I am stuck at work,empty
@gk2007 Yu th? trang nï¿½y xem  http://bit.ly/kMxHk (recommended by ),empty
@_MeesLovesYou_ Grounded from the computer... sucks for you.,empty
@wettingfeld  guess I have to get dressed and be pretty then,empty
"@AchtungMusic haha. I know. Why are you up so early, then?",empty
Lost a battle with the couch....phone has been blowing up,empty
"@vickitequila oh I meant how to put stuff into formatting and in what order. It was early in the morning, okay!",empty
@_AislinnTighee yeah. you're really annoying,empty
"@VANS_66 I haven't had slip-ons in years, since my checkered days. Matter of fact I only have my torn up all black classics.",empty
on my way too school. be back later...,empty
Needs a new phone,empty
#pens...steigy...no politics hun...the obamas are not watching hockey,empty
"@rickiep00h  no, you didn't fail.  thanks",empty
milkshake + hot day = unsettled stomach,empty
just sending a twitter from the club! i twittered u,empty
this is absurd ! I feel like a dipping in the pool real quick . its too bad i dont have a poool,empty
"@alikat89 Awww, that sucks. Maybe it's on Youtube somewhere?",empty
Ok i mean this with no disrespect........ FUCK THAT!,empty
Good morning,empty
@brinathemodel  sa'weee,empty
ending my show with Disturbed: Just Stop! holla at y'all sunday night!,empty
Watching twilight and eating potato salad.,empty
@lovelene I aint blanco either..Yo 100% Puerto Rican mami....yo show muy amor yi tu...but yo no se...,empty
@Infidel007 people ask a lot.. and plus i thought id contribute to a SYKES to the trending topics,empty
calling debby ryan!,empty
Watching Season 7 of GG!,empty
@tashkaa  hey are you there?Oyy i geas you sleep...,empty
is about to go for a run.. in this weather..,empty
@Shareka Happy birthday!,empty
When God created man i also believed he created a million people to get on ya tits for a laff,empty
@dushbag And I totally wish I was going to Orlando.  How long until you're there? I forget how long the drive is.,empty
"@fionaaa_ YEEEAH :'D lmao, dentists aren't nice  espesh after they decide your too old for goodie bags with stickers &amp; awesome toothpaste",empty
@Krucial nothing just joined up,empty
where did @poonstabby go???,empty
@McCainBlogette Pretty sure you are hero status... You rock my socks Ms McCain.,empty
@GeezusHaberdash Awww   I told you when I would change it. I suggest you try to get in touch w/ Dre's people. LOL,empty
@rosieperez yes! I can't find one 4 my Curve 8900,empty
@BerinKinsman Does this happen every monday?,empty
is so bored...,empty
@Matt_D_ happy birthday,empty
I had to unhook twitter from Facebook because all my Facebook cronies were complaining.,empty
@shydgn ???? ?? ???? ??? ???????,empty
Just came back from school.... Packing for my dad's house,empty
"@sarah_connors 1999 called, they want their saying back. Live in the NOW #pens  haha",empty
Breaking the daily build broke my daily plan as well,empty
@lexia Or even listen to Susan's green policies,empty
look how @exotic @BADDESTnLA choke on this dick talks to me,empty
@librariansti it's like the library equivalent of &quot;it's 5 o'clock somewhere.&quot; someone else in on the ref desk somewhere,empty
It's a beautiful nice day and I'm stuck inside!,empty
leather jackets=uncomfortable....not my thing,empty
@TatianeMarks quem ï¿½ Katy??,empty
is fairly upset at the fact the twitter/bgt session will have to commence without Sam..,empty
I can't believe how tired I am right now... I don't know if I can go out tonight...   Exhaaaausted!!,empty
@sarahjlwest I ake it you're at work then and not lazing at home on a sunny bank holiday.,empty
@LittleLee yup! way to fucking early and I'm already at work,empty
I want a fake BLT....,empty
@guybatty Hehe! It is nice down there,empty
got the twilight board game today  good old ebay..,empty
@AliBee16 *waves* not quite some of us are still lounging around   How are you this morning?,empty
"@aditya Easy. Put on a mask. Hack. Even though the cameras record you, no one can do jackshit",empty
http://twitpic.com/4jco5 - The Result of working the Green/Black fingers...,empty
"These kids are terrible! If I was in Good Evans, I'd call Childline",empty
finde de chicas,empty
"@soumen08 I know you won't keep a wild dog, or else you won't be able in the situation to use Mandriva in your life.",empty
Fighting with Nagios configuration.  Great tool but the config is a bit of a labour,empty
is SOOOOO hungry right now! Should've eaten before this wedding.,empty
@CarrieStephens mine do it no matter WHO i'm on the phone with!,empty
"@cathjenkin when I see all the moms' on twitter and their tweets, I know its gonna be worth ir",empty
Starting to get annoyed with socialscope. Need an update,empty
Boo Im lonely and bored,empty
@PenDaRella just that you're not here...,empty
Another lonely night?,empty
@dexterouslady the next best thing other than being bored is being bored and being able to share it with people on twitter....,empty
FML i just spilled my entire can of diet coke IN MY LAP. yay,empty
@illuzion11 You right...we are &quot;arguing&quot; about nothing...I thought it was healthy conversation,empty
@pratikjain4 welcome,empty
"@alanmcnamee nope no idea, I've registered, so far no response",empty
@Jayce_Kay Morning! Hows your day. Hope you're not another lying in the sun,empty
"@BenKasica Iowa is like that sometimes, it gets frustrating.",empty
@taraaverette You seem Cool,empty
Ugh. Kinda bored.,empty
It is possible to frown while eating a Frosty,empty
@dougiemcfly me too,empty
@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,empty
Chilling with some tv quite bored at the moment,empty
@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4,empty
@tom_pollard I have no denial for this because it is the fucking truth,empty
@kgthagreat yea tre hood claim thats atl theme song which it aint!! lol  but its a youtube vid. that i posted yesterday,empty
"@LacesOutDan nah, he was acting like a dick - his show sucked last night",empty
@tinacarlino no go on the bro down tonight for brett,empty
Finals week dont bother me im studying,empty
Reinstalling apps on my company MacBook Pro after being assimilated into the Active Directory collective,empty
@sam_burnett Firmly embedded in her Hampstead constituency then,empty
http://twitpic.com/4wuaq - another prof pic.,empty
Wtf was that crap 5 mins before the marked closed...FAZ you cost me 4 grand,empty
@_Cheshire_Cat_,empty
@jark It's not as bad if you don't combine. FX are nice. I like Windows 7 1000x better than Vista so far. To me Vista is Win ME reborn,empty
"tired as heck, i wanna go home and sleep but i cant cause im have to be at the wash till my daddy gets off work.",empty
I jus dropped my dog  and im tall.,empty
@tremblah i wishhh!,empty
@nick_carter The video is private.,empty
@Naina @dinno so ur name is also Naina,empty
Playing games don't help me out of being bored!,empty
got my wisdom teeth removed it hurts.,empty
@SmilinNursAnnie Good Morning Rock Star Nurse,empty
@lownleeeynjul oh that stinks..,empty
The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,empty
@nick_carter THE LINK DOESNT WORK,empty
@TEAMLUDAJUICE you are just wrong!!! Now you've come to brag with a full belly??? Smh ...,empty
is tired of being tired,empty
"Should have gone to bed ages ago, damn you tedtalks!  Gotta get up early too",empty
Is going to sleep. Good night everyone!!,empty
@LadyonAcres when i have to make a decision like that i always choose Black.....,empty
salt and vinegar,empty
The sun is shining and I'm stuck in work,empty
@Jessmsmell im seeing this guy 2moro arvo after skl cus he asked me to,empty
weee! internet is back here at home!,empty
"I must have applied for about 20 jobs every day this week, why won't one of them contact me???",empty
Too warm!!!,empty
Missy higgins kate voegele grace potter and the nocturnals,empty
0,empty
@juandeleon1021 don't be mean....I'm having to give him to my brother this weekend,empty
@DonnieWahlberg lol i wos gona send mine in bt i was too late  xx,empty
